study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB19825	SAMEA103748668	ERX1926652	ERR1866468	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/008/ERR1866468/ERR1866468.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866468/550.L1S1.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/008/ERR1866468
PRJEB19825	SAMEA103750168	ERX1926654	ERR1866470	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/000/ERR1866470/ERR1866470.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866470/550.L1S10.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/000/ERR1866470
PRJEB19825	SAMEA103751668	ERX1926656	ERR1866472	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/002/ERR1866472/ERR1866472.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866472/550.L1S100.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/002/ERR1866472
PRJEB19825	SAMEA103753168	ERX1926658	ERR1866474	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/004/ERR1866474/ERR1866474.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866474/550.L1S101.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/004/ERR1866474
PRJEB19825	SAMEA103754668	ERX1926660	ERR1866476	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/006/ERR1866476/ERR1866476.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866476/550.L1S102.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/006/ERR1866476
PRJEB19825	SAMEA103756168	ERX1926662	ERR1866478	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/008/ERR1866478/ERR1866478.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866478/550.L1S103.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/008/ERR1866478
PRJEB19825	SAMEA103757668	ERX1926664	ERR1866480	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/000/ERR1866480/ERR1866480.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866480/550.L1S104.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/000/ERR1866480
PRJEB19825	SAMEA103759168	ERX1926666	ERR1866482	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/002/ERR1866482/ERR1866482.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866482/550.L1S105.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/002/ERR1866482
PRJEB19825	SAMEA103760668	ERX1926668	ERR1866484	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/004/ERR1866484/ERR1866484.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866484/550.L1S106.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/004/ERR1866484
PRJEB19825	SAMEA103762168	ERX1926670	ERR1866487	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/007/ERR1866487/ERR1866487.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866487/550.L1S107.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/007/ERR1866487
PRJEB19825	SAMEA103763668	ERX1926672	ERR1866489	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/009/ERR1866489/ERR1866489.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866489/550.L1S108.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/009/ERR1866489
PRJEB19825	SAMEA103765168	ERX1926674	ERR1866491	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/001/ERR1866491/ERR1866491.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866491/550.L1S109.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/001/ERR1866491
PRJEB19825	SAMEA103766668	ERX1926676	ERR1866493	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/003/ERR1866493/ERR1866493.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866493/550.L1S11.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/003/ERR1866493
PRJEB19825	SAMEA103768168	ERX1926678	ERR1866495	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/005/ERR1866495/ERR1866495.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866495/550.L1S110.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/005/ERR1866495
PRJEB19825	SAMEA103768918	ERX1926679	ERR1866497	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/007/ERR1866497/ERR1866497.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866497/550.L1S111.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/007/ERR1866497
PRJEB19825	SAMEA103770418	ERX1926681	ERR1866499	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/009/ERR1866499/ERR1866499.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866499/550.L1S112.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/009/ERR1866499
PRJEB19825	SAMEA103771918	ERX1926683	ERR1866501	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR186/001/ERR1866501/ERR1866501.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR186/ERR1866501/550.L1S113.s.1.sequence.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR186/001/ERR1866501
