sample_name,mgrast_id,biome,collection_date,country,env_package,feature,latitude,location,longitude,material,collection_time,collection_timezone,altitude,depth,elevation,samp_size,ANONYMIZED_NAME,DESCRIPTION,PLATFORM,REGION,SAMPLE_CENTER,TAXON_ID,TITLE,assigned_from_geo,common_sample_site,days_since_epoch,host_individual,mislabeled,public,sample_id
Unique name or id of the sample,,"The environmental biome represents the major classes of ecologically similar communities of plants, animals, and other organisms. Biomes are defined based on factors such as plant structures, leaf types, plant spacing, and other factors like climate. Examples include: desert, taiga, deciduous woodland, or coral reef. EnvO terms listed under environmental biome can be found from the link: http://purl.obolibrary.org/obo/ENVO_01000254","The date of sampling. Use ISO8601 compliant format, ie. 2008-01-23",The geographical origin of the sample as defined by the country or sea name. Country or sea names should be chosen from the INSDC country list: http://insdc.org/country.html,"MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. Use one of: air,  built environment, host-associated, human-associated, human-oral, human-gut, human-skin, human-vaginal, microbial mat|biofilm, miscellaneous, plant-associated, sediment, soil, wastewater|sludge, water","Environmental feature level includes geographic environmental features. Examples include: harbor, cliff, or lake. EnvO terms listed under environmental feature can be found from the link: http://purl.obolibrary.org/obo/ENVO_00002297",The geographical origin of the sample as defined by latitude. The value should be reported in decimal degrees and in WGS84 system,The geographical origin of the sample as defined by the specific local region name,The geographical origin of the sample as defined by longitude. The value should be reported in decimal degrees and in WGS84 system,"The environmental material level refers to the matter that was displaced by the sample, prior to the sampling event. Environmental matter terms are generally mass nouns. Examples include: air, soil, or water. EnvO terms listed under environmental matter can be found from the link: http://purl.obolibrary.org/obo/ENVO_00010483","The local time of sampling.  Use ISO8601 compliant format, ie. 19:23:10","The timezone of sampling.  Use ISO8601 compliant format, ie. UTC-7",The altitude of the sample is the vertical distance in meters between Earth's surface above Sea Level and the sampled position in the air.,"Depth is defined as the vertical distance in meters below surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly.",The elevation of the sampling site in meters as measured by the vertical distance from mean sea level.,"Amount or size of sample (volume, mass or area) that was collected, along with the unit used","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here",Internal ID of sample
L1S1,mgs24200,human-associated habitat,2008-10-21,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_1,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14173,F4,y,y,qiime:228364
L1S10,mgs23027,human-associated habitat,2008-10-30,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_2,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14182,F4,n,y,qiime:227308
L1S100,mgs22416,human-associated habitat,2009-03-12,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_3,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14315,F4,n,y,qiime:226759
L1S101,mgs22356,human-associated habitat,2009-03-13,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_4,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14316,F4,n,y,qiime:226704
L1S102,mgs22528,human-associated habitat,2009-03-14,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_5,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14317,F4,n,y,qiime:226860
L1S103,mgs23381,human-associated habitat,2009-03-15,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_6,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14318,F4,n,y,qiime:227627
L1S104,mgs23589,human-associated habitat,2009-03-16,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_7,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14319,F4,n,y,qiime:227814
L1S105,mgs22815,human-associated habitat,2009-03-17,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_8,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14320,F4,n,y,qiime:227117
L1S106,mgs22757,human-associated habitat,2009-03-18,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_9,Moving_pictures_of_the_human_microbiome,Illumina,L1,CCME,9606,Moving_pictures_of_the_human_microbiome,n,feces,14321,F4,n,y,qiime:227065
