sample_name,mgrast_id,body_habitat,body_site,sex
Unique name or id of the sample the library is derived from,,original body habitat where the sample was obtained from,name of body site where the sample was obtained fromhttp://bioportal.bioontology.org/visualize/44507,physical sex of the host
L1S10,mge35697,UBERON:gut,UBERON:feces,female
L1S101,mge35093,UBERON:gut,UBERON:feces,female
L1S102,mge35249,UBERON:gut,UBERON:feces,female
L1S103,mge36041,UBERON:gut,UBERON:feces,female
L1S104,mge36247,UBERON:gut,UBERON:feces,female
L1S106,mge35454,UBERON:gut,UBERON:feces,female
L1S107,mge35305,UBERON:gut,UBERON:feces,female
L1S109,mge35782,UBERON:gut,UBERON:feces,female
L1S11,mge35375,UBERON:gut,UBERON:feces,female
L1S113,mge35669,UBERON:gut,UBERON:feces,female
L1S116,mge35689,UBERON:gut,UBERON:feces,female
L1S117,mge35364,UBERON:gut,UBERON:feces,female
L1S118,mge36923,UBERON:gut,UBERON:feces,female
L1S119,mge35339,UBERON:gut,UBERON:feces,female
L1S12,mge35742,UBERON:gut,UBERON:feces,female
L1S120,mge35574,UBERON:gut,UBERON:feces,female
L1S122,mge35726,UBERON:gut,UBERON:feces,female
L1S123,mge36248,UBERON:gut,UBERON:feces,female
L1S124,mge36106,UBERON:gut,UBERON:feces,female
L1S125,mge34892,UBERON:gut,UBERON:feces,female
L1S126,mge36286,UBERON:gut,UBERON:feces,female
L1S127,mge35577,UBERON:gut,UBERON:feces,female
L1S129,mge36141,UBERON:gut,UBERON:feces,female
L1S13,mge35890,UBERON:gut,UBERON:feces,female
L1S131,mge36376,UBERON:gut,UBERON:feces,female
L1S132,mge34866,UBERON:gut,UBERON:feces,female
L1S133,mge36501,UBERON:gut,UBERON:feces,male
L1S136,mge36463,UBERON:gut,UBERON:feces,male
L1S137,mge35354,UBERON:gut,UBERON:feces,male
L1S139,mge36518,UBERON:gut,UBERON:feces,male
L1S14,mge35754,UBERON:gut,UBERON:feces,female
L1S140,mge35181,UBERON:gut,UBERON:feces,male
L1S141,mge35405,UBERON:gut,UBERON:feces,male
L1S142,mge35790,UBERON:gut,UBERON:feces,male
L1S143,mge35811,UBERON:gut,UBERON:feces,male
L1S144,mge36045,UBERON:gut,UBERON:feces,male
L1S145,mge36545,UBERON:gut,UBERON:feces,male
L1S146,mge35588,UBERON:gut,UBERON:feces,male
L1S147,mge36278,UBERON:gut,UBERON:feces,male
