study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB6518	SAMEA2592369	ERX496644	ERR531441	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531441/ERR531441.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531441/seqs_Stool314.1260425.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531441
PRJEB6518	SAMEA2592370	ERX496645	ERR531442	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531442/ERR531442.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531442/seqs_Stool499.1259635.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531442
PRJEB6518	SAMEA2592371	ERX496646	ERR531443	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531443/ERR531443.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531443/seqs_Stool129.1260009.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531443
PRJEB6518	SAMEA2592372	ERX496647	ERR531444	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531444/ERR531444.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531444/seqs_Stool348.1259739.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531444
PRJEB6518	SAMEA2592373	ERX496648	ERR531445	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531445/ERR531445.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531445/seqs_Stool437.1260353.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531445
PRJEB6518	SAMEA2592374	ERX496649	ERR531446	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531446/ERR531446.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531446/seqs_Stool417.1259866.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531446
PRJEB6518	SAMEA2592375	ERX496650	ERR531447	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531447/ERR531447.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531447/seqs_Stool125.1260188.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531447
PRJEB6518	SAMEA2592376	ERX496651	ERR531448	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531448/ERR531448.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531448/seqs_Stool326.1260401.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531448
PRJEB6518	SAMEA2592377	ERX496652	ERR531449	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531449/ERR531449.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531449/seqs_Stool23.1259650.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531449
PRJEB6518	SAMEA2592378	ERX496653	ERR531450	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531450/ERR531450.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531450/seqs_Stool231.1260258.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531450
PRJEB6518	SAMEA2592379	ERX496654	ERR531451	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531451/ERR531451.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531451/seqs_Stool70.1260226.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531451
