Run,Assay Type,AvgSpotLen,BioProject,BioSample,BioSampleModel,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study,isol_growth_condt,strain,num_replicons,ref_biomaterial,host_subject_id,source_material_ID,Cultivar,Ecotype,isolate
SRR9205532,WGS,270,PRJNA544527,SAMN11846275,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,09-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976953,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0006_0094_b1,PAIRED,RANDOM,GENOMIC,751,319,Alistipes onderdonkii,ILLUMINA,2019-07-31T00:00:00Z,SRS4883466,am_0006_0094_b1,SRP200548,missing,BIOML-A131,missing,missing,,,,,
SRR9205533,WGS,272,PRJNA544527,SAMN11846276,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,09-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976952,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0006_0094_b2,PAIRED,RANDOM,GENOMIC,499,214,Alistipes onderdonkii,ILLUMINA,2019-07-31T00:00:00Z,SRS4883467,am_0006_0094_b2,SRP200548,missing,BIOML-A132,missing,missing,,,,,
SRR9205534,WGS,273,PRJNA544527,SAMN11846277,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,09-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976951,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0006_0094_b3,PAIRED,RANDOM,GENOMIC,455,195,Alistipes onderdonkii,ILLUMINA,2019-07-31T00:00:00Z,SRS4883465,am_0006_0094_b3,SRP200548,missing,BIOML-A133,missing,missing,,,,,
SRR9205535,WGS,273,PRJNA544527,SAMN11846353,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,18-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976950,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0014_0091_c3,PAIRED,RANDOM,GENOMIC,782,331,Alistipes onderdonkii,ILLUMINA,2019-07-31T00:00:00Z,SRS4883464,am_0014_0091_c3,SRP200548,missing,BIOML-A209,missing,missing,,,,,
SRR9205536,WGS,273,PRJNA544527,SAMN11846352,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,18-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976949,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0014_0091_c2,PAIRED,RANDOM,GENOMIC,459,195,Alistipes onderdonkii,ILLUMINA,2019-07-31T00:00:00Z,SRS4883462,am_0014_0091_c2,SRP200548,missing,BIOML-A208,missing,missing,,,,,
SRR9205537,WGS,273,PRJNA544527,SAMN11846351,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,18-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976948,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0014_0091_c1,PAIRED,RANDOM,GENOMIC,725,306,Alistipes onderdonkii,ILLUMINA,2019-07-31T00:00:00Z,SRS4883463,am_0014_0091_c1,SRP200548,missing,BIOML-A207,missing,missing,,,,,
SRR9205538,WGS,271,PRJNA544527,SAMN11846350,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,18-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976947,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0014_0091_c12,PAIRED,RANDOM,GENOMIC,750,316,Alistipes onderdonkii,ILLUMINA,2019-07-31T00:00:00Z,SRS4883461,am_0014_0091_c12,SRP200548,missing,BIOML-A206,missing,missing,,,,,
SRR9205539,WGS,272,PRJNA544527,SAMN11846357,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,18-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976946,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0014_0091_c8,PAIRED,RANDOM,GENOMIC,732,309,Alistipes onderdonkii,ILLUMINA,2019-07-31T00:00:00Z,SRS4883459,am_0014_0091_c8,SRP200548,missing,BIOML-A213,missing,missing,,,,,
SRR9205541,WGS,268,PRJNA544527,SAMN11846355,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,18-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976944,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0014_0091_c5,PAIRED,RANDOM,GENOMIC,868,364,Alistipes onderdonkii,ILLUMINA,2019-07-31T00:00:00Z,SRS4883458,am_0014_0091_c5,SRP200548,missing,BIOML-A211,missing,missing,,,,,
SRR9205542,WGS,264,PRJNA544527,SAMN11846354,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,18-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976943,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0014_0091_c4,PAIRED,RANDOM,GENOMIC,844,354,Alistipes onderdonkii,ILLUMINA,2019-07-31T00:00:00Z,SRS4883457,am_0014_0091_c4,SRP200548,missing,BIOML-A210,missing,missing,,,,,
